player,year,round,elo,elo_new
s kovack,1947,r1r3,1462.3706792920768,1441.7631365273458
f serafin,1947,r1r3,1492.1809046859964,1477.3276381640055
r willits,1947,r1r3,1462.9068632519127,1442.2993316669535
g hamer,1947,r1r3,1456.8375812957931,1430.4762737172407
s riegel,1947,r1r3,1465.108685798075,1441.6243753383515
j foulis,1947,r1r3,1460.7050411369246,1431.4669892074237
j farrell,1947,r1r3,1430.894818310629,1401.6561505242535
c wood,1947,r1r3,1435.298460404155,1403.183058144283
r jones jr,1947,r1r3,1468.9761456392066,1439.7382663766246
c yates,1947,r1r3,1464.5725009780563,1432.4577048688143
b burke,1947,r1r3,1412.6869788111824,1369.0638156693963
j macdonald,1947,r1r3,1365.7412826597504,1296.2257556178838
j demaret,1947,r1r4,1593.590496965956,1629.2904743682552
b nelson,1947,r1r4,1581.0924776482009,1611.946500940614
f stranahan,1947,r1r4,1535.590988075363,1566.4439930686885
b hogan,1947,r1r4,1534.0640720464064,1562.4942084266409
h mcspaden,1947,r1r4,1543.0103099253736,1571.4406442893037
j ferrier,1947,r1r4,1572.1462347578981,1595.7315510870253
h picard,1947,r1r4,1543.326074225769,1566.9107458115084
c harper,1947,r1r4,1490.0895244415267,1511.2501972380876
l mangrum,1947,r1r4,1496.1589341070328,1517.319737860835
d metz,1947,r1r4,1542.6511207784702,1563.8129424976569
e oliver,1947,r1r4,1562.5250407338506,1583.6873057643656
t penna,1947,r1r4,1560.3231679474754,1581.4853836173982
j bulla,1947,r1r4,1542.2919342182422,1561.030913078726
r chapman,1947,r1r4,1543.6418394082386,1559.9580133248644
l little jr,1947,r1r4,1550.701974211587,1567.0183051320114
b locke,1947,r1r4,1506.4116483805099,1522.7270045734592
h barron,1947,r1r4,1556.455623849041,1570.3492482900433
f haas jr,1947,r1r4,1551.9131276927108,1565.8066507174567
j palmer,1947,r1r4,1555.780671712321,1569.6742810678256
d shute,1947,r1r4,1509.604236098998,1521.0739919647806
v ghezzi,1947,r1r4,1498.9923269136448,1508.0390174926476
h smith,1947,r1r4,1544.632558219337,1551.2574145612823
s snead,1947,r1r4,1540.7650145895116,1547.3897851409574
h keiser,1947,r1r4,1493.9136319299685,1498.1145429410938
e vines,1947,r1r4,1502.323671040786,1506.5247640156829
c harmon,1947,r1r4,1538.5631431151112,1540.3421951231394
g sarazen,1947,r1r4,1471.4786631713864,1473.256258002594
g schneiter,1947,r1r4,1530.7846349433337,1532.563515182896
e harrison,1947,r1r4,1518.0142754255774,1517.3700403899734
c heafner,1947,r1r4,1488.834937438914,1488.1900691909686
c middlecoff,1947,r1r4,1564.1907122293592,1563.5475006113086
h todd,1947,r1r4,1506.4116483805099,1505.7671603281506
c harbert,1947,r1r4,1558.3417295709137,1555.2755519524403
k laffoon,1947,r1r4,1500.6579987430557,1497.5905509345512
f moore,1947,r1r4,1480.7840935627103,1477.7162175107508
l worsham,1947,r1r4,1544.1780402006846,1541.11154688201
e dudley,1947,r1r4,1519.5411922401875,1514.0513208395575
g schoux,1947,r1r4,1538.2039558398237,1530.2916603308495
c congdon,1947,r1r4,1482.0905709018525,1471.7542181808633
g fazio,1947,r1r4,1466.6204057745488,1456.2837227056118
g kunes,1947,r1r4,1493.0182416391244,1482.6821239739998
b hamilton,1947,r1r4,1496.4312653128577,1483.6723864623657
j revolta,1947,r1r4,1483.08128780146,1470.3221214402079
e furgol,1947,r1r4,1474.7146841695874,1459.5325038088097
j turnesa,1947,r1r4,1425.7567826858553,1410.573570614631
c lind,1947,r1r4,1468.6018383526593,1450.996692761258
s kovack,1947,r1r4,1441.7631365273458,1421.7345889420678
f serafin,1947,r1r4,1477.3276381640055,1457.2998438665986
r willits,1947,r1r4,1442.2993316669535,1422.2707953300048
g hamer,1947,r1r4,1430.4762737172407,1408.0246552262724
s riegel,1947,r1r4,1441.6243753383515,1419.1729899504842
j foulis,1947,r1r4,1431.4669892074237,1406.5925564824433
j farrell,1947,r1r4,1401.6561505242535,1364.666926573505
c wood,1947,r1r4,1403.183058144283,1366.1938655424597
r jones jr,1947,r1r4,1439.7382663766246,1400.3269972057426
c yates,1947,r1r4,1432.4577048688143,1393.0462834600514
b burke,1947,r1r4,1369.0638156693963,1324.8054240085544
c harmon,1948,r1,1540.3421951231394,1528.631297227945
c middlecoff,1948,r1,1563.5475006113086,1501.7789155389426
c harbert,1948,r1,1555.2755519524403,1521.9182018056943
j ferrier,1948,r1,1595.7315510870253,1521.9182018056943
l mangrum,1948,r1,1517.319737860835,1535.3443926501957
e furgol,1948,r1,1459.5325038088097,1528.631297227945
b hogan,1948,r1,1562.4942084266409,1528.631297227945
