player,position,r1,r2,r3,r4,strokes,earnings,fedex_cup_points,year
Arnold Palmer,CUT,74,76,,,150,,,1996
Payne Stewart,CUT,74,76,,,150,,,1996
Tiger Woods,CUT,75,75,,,150,,,1996
Ben Crenshaw,CUT,77,74,,,151,,,1996
Ed Dougherty,CUT,76,75,,,151,,,1996
Satoshi Higashi,CUT,76,75,,,151,,,1996
Sam Torrance,CUT,80,71,,,151,,,1996
Kirk Triplett,CUT,76,75,,,151,,,1996
Gay Brewer,CUT,75,77,,,152,,,1996
Tim Herron,CUT,76,76,,,152,,,1996
Tom Kite,CUT,75,77,,,152,,,1996
Kenny Perry,CUT,75,77,,,152,,,1996
Paul Stankowski,CUT,74,78,,,152,,,1996
Woody Austin,CUT,79,74,,,153,,,1996
Brad Bryant,CUT,78,75,,,153,,,1996
David Edwards,CUT,79,74,,,153,,,1996
Costantino Rocca,CUT,78,75,,,153,,,1996
Mark Roe,CUT,74,79,,,153,,,1996
Billy Mayfair,CUT,77,77,,,154,,,1996
Steve Elkington,CUT,76,79,,,155,,,1996
Brian Henninger,CUT,76,79,,,155,,,1996
Gordon Sherry,CUT,78,77,,,155,,,1996
D.A. Weibring,CUT,74,81,,,155,,,1996
Ian Baker-Finch,CUT,78,79,,,157,,,1996
Paul Goydos,CUT,74,83,,,157,,,1996
Chris Wollmann,CUT,79,79,,,158,,,1996
Charles Coody,CUT,82,78,,,160,,,1996
Jerry Courville,CUT,78,82,,,160,,,1996
"Buddy Marucci, Jr",CUT,79,81,,,160,,,1996
Mark McCumber,CUT,78,82,,,160,,,1996
Billy Casper,CUT,75,86,,,161,,,1996
Doug Ford,CUT,81,88,,,169,,,1996
Ben Crenshaw,1,70,67,69,68,274,"$396,000.00",,1995
Davis Love III,2,69,69,71,66,275,"$237,600.00",,1995
Jay Haas,T3,71,64,72,70,277,"$127,600.00",,1995
Greg Norman,T3,73,68,68,68,277,"$127,600.00",,1995
Steve Elkington,T5,73,67,67,72,279,"$83,600.00",,1995
David Frost,T5,66,71,71,71,279,"$83,600.00",,1995
Scott Hoch,T7,69,67,71,73,280,"$70,950.00",,1995
Phil Mickelson,T7,66,71,70,73,280,"$70,950.00",,1995
Curtis Strange,9,72,71,65,73,281,"$63,800.00",,1995
Fred Couples,T10,71,69,67,75,282,"$57,200.00",,1995
Brian Henninger,T10,70,68,68,76,282,"$57,200.00",,1995
Lee Janzen,T12,69,69,74,71,283,"$48,400.00",,1995
Kenny Perry,T12,73,70,71,69,283,"$48,400.00",,1995
Hale Irwin,T14,69,72,71,72,284,"$39,600.00",,1995
Jose Maria Olazabal,T14,66,74,72,72,284,"$39,600.00",,1995
Tom Watson,T14,73,70,69,72,284,"$39,600.00",,1995
Paul Azinger,T17,70,72,73,70,285,"$28,786.00",,1995
Brad Faxon,T17,76,69,69,71,285,"$28,786.00",,1995
Raymond Floyd,T17,71,70,70,74,285,"$28,786.00",,1995
John Huston,T17,70,66,72,77,285,"$28,786.00",,1995
Colin Montgomerie,T17,71,69,76,69,285,"$28,786.00",,1995
Corey Pavin,T17,67,71,72,75,285,"$28,786.00",,1995
Ian Woosnam,T17,69,72,71,73,285,"$28,786.00",,1995
David Edwards,T24,69,73,73,71,286,"$18,260.00",,1995
Nick Faldo,T24,70,70,71,75,286,"$18,260.00",,1995
David Gilford,T24,67,73,75,71,286,"$18,260.00",,1995
Loren Roberts,T24,72,69,72,73,286,"$18,260.00",,1995
Duffy Waldorf,T24,74,69,67,76,286,"$18,260.00",,1995
Bob Estes,T29,73,70,76,68,287,"$15,300.00",,1995
Masashi Jumbo Ozaki,T29,70,74,70,73,287,"$15,300.00",,1995
Peter Jacobsen,T31,72,73,69,74,288,"$13,325.00",,1995
Bernhard Langer,T31,71,69,73,75,288,"$13,325.00",,1995
Bruce Lietzke,T31,72,71,71,74,288,"$13,325.00",,1995
Mark O'Meara,T31,68,72,71,77,288,"$13,325.00",,1995
Chip Beck,T35,68,76,69,77,290,"$10,840.00",,1995
Dan Forsman,T35,71,74,74,71,290,"$10,840.00",,1995
Wayne Grady,T35,69,73,74,74,290,"$10,840.00",,1995
Mark McCumber,T35,73,69,69,79,290,"$10,840.00",,1995
Jack Nicklaus,T35,67,78,70,75,290,"$10,840.00",,1995
Tom Lehman,40,71,72,74,75,292,"$9,500.00",,1995
Mark Calcavecchia,T41,70,72,78,73,293,"$8,567.00",,1995
Jeff Sluman,T41,73,72,71,77,293,"$8,567.00",,1995
Payne Stewart,T41,71,72,72,78,293,"$8,567.00",,1995
Tiger Woods,T41,72,72,77,72,293,,,1995
Seve Ballesteros,T45,75,68,78,75,296,"$7,500.00",,1995
John Daly,T45,75,69,71,81,296,"$7,500.00",,1995
Rick Fehr,47,76,69,69,83,297,"$6,800.00",,1995
Clark Dennis,CUT,73,73,,,146,,,1995
Miguel Jimenez,CUT,71,75,,,146,,,1995
Sandy Lyle,CUT,75,71,,,146,,,1995
Tommy Nakajima,CUT,72,74,,,146,,,1995
Craig Stadler,CUT,70,76,,,146,,,1995
Hal Sutton,CUT,77,69,,,146,,,1995
Fuzzy Zoeller,CUT,72,74,,,146,,,1995
Brad Bryant,CUT,77,70,,,147,,,1995
Charles Coody,CUT,74,73,,,147,,,1995
John Cook,CUT,73,74,,,147,,,1995
Ernie Els,CUT,72,75,,,147,,,1995
Mike Heinen,CUT,73,74,,,147,,,1995
Tom Kite,CUT,74,73,,,147,,,1995
Larry Mize,CUT,76,71,,,147,,,1995
Mike Sullivan,CUT,72,75,,,147,,,1995
Steve Lowery,CUT,75,73,,,148,,,1995
Jeff Maggert,CUT,78,70,,,148,,,1995
Mark McNulty,CUT,75,73,,,148,,,1995
John Morse,CUT,74,74,,,148,,,1995
Vijay Singh,CUT,77,71,,,148,,,1995
Gay Brewer,CUT,79,70,,,149,,,1995
Gary Player,CUT,76,73,,,149,,,1995
Nick Price,CUT,76,73,,,149,,,1995
Lanny Wadkins,CUT,74,75,,,149,,,1995
Jim McGovern,CUT,77,73,,,150,,,1995
Bill Glasson,CUT,71,80,,,151,,,1995
Neal Lancaster,CUT,74,77,,,151,,,1995
Arnold Palmer,CUT,79,73,,,152,,,1995
Dicky Pride,CUT,79,73,,,152,,,1995
Mark Brooks,CUT,76,77,,,153,,,1995
Frank Nobilo,CUT,81,73,,,154,,,1995
Tim Jackson,CUT,79,76,,,155,,,1995
Trip Kuehne,CUT,79,76,,,155,,,1995
Lee James,CUT,77,80,,,157,,,1995
Mike Springer,CUT,77,80,,,157,,,1995
Ian Baker-Finch,CUT,79,81,,,160,,,1995
Guy Yamamoto,CUT,84,77,,,161,,,1995
Billy Casper,CUT,79,89,,,168,,,1995
Doug Ford,W/D,88,,,,88,,,1995
Jose Maria Olazabal,1,74,67,69,69,279,"$360,000.00",,1994
Tom Lehman,2,70,70,69,72,281,"$216,000.00",,1994
Larry Mize,3,68,71,72,71,282,"$136,000.00",,1994
Tom Kite,4,69,72,71,71,283,"$96,000.00",,1994
Jay Haas,T5,72,72,72,69,285,"$73,000.00",,1994
Jim McGovern,T5,72,70,71,72,285,"$73,000.00",,1994
Loren Roberts,T5,75,68,72,70,285,"$73,000.00",,1994
Ernie Els,T8,74,67,74,71,286,"$60,000.00",,1994
Corey Pavin,T8,71,72,73,70,286,"$60,000.00",,1994
Ian Baker-Finch,T10,71,71,71,74,287,"$50,000.00",,1994
Raymond Floyd,T10,70,74,71,72,287,"$50,000.00",,1994
John Huston,T10,72,72,74,69,287,"$50,000.00",,1994
Tom Watson,13,70,71,73,74,288,"$42,000.00",,1994
Dan Forsman,14,74,66,76,73,289,"$38,000.00",,1994
Chip Beck,T15,71,71,75,74,291,"$34,000.00",,1994
Brad Faxon,T15,71,73,73,74,291,"$34,000.00",,1994
Mark O'Meara,T15,75,70,76,70,291,"$34,000.00",,1994
Seve Ballesteros,T18,70,76,75,71,292,"$24,343.00",,1994
Ben Crenshaw,T18,74,73,73,72,292,"$24,343.00",,1994
David Edwards,T18,73,72,73,74,292,"$24,343.00",,1994
Bill Glasson,T18,72,73,75,72,292,"$24,343.00",,1994
Hale Irwin,T18,73,68,79,72,292,"$24,343.00",,1994
Greg Norman,T18,70,70,75,77,292,"$24,343.00",,1994
Lanny Wadkins,T18,73,74,73,72,292,"$24,343.00",,1994
Bernhard Langer,T25,74,74,72,73,293,"$16,800.00",,1994
Jeff Sluman,T25,74,75,71,73,293,"$16,800.00",,1994
Scott Simpson,T27,74,74,73,73,294,"$14,800.00",,1994
Vijay Singh,T27,70,75,74,75,294,"$14,800.00",,1994
Curtis Strange,T27,74,70,75,75,294,"$14,800.00",,1994
Lee Janzen,T30,75,71,76,73,295,"$13,300.00",,1994
Craig Parry,T30,75,74,73,73,295,"$13,300.00",,1994
Nick Faldo,32,76,73,73,74,296,"$12,400.00",,1994
Russ Cochran,T33,71,74,74,78,297,"$11,550.00",,1994
Sam Torrance,T33,76,73,74,74,297,"$11,550.00",,1994
David Frost,T35,74,71,75,78,298,"$10,300.00",,1994
Nick Price,T35,74,73,74,77,298,"$10,300.00",,1994
Fuzzy Zoeller,T35,74,72,74,78,298,"$10,300.00",,1994
Fulton Allem,T38,69,77,76,77,299,"$9,000.00",,1994
Fred Funk,T38,79,70,75,75,299,"$9,000.00",,1994
Sandy Lyle,T38,75,73,78,73,299,"$9,000.00",,1994
Wayne Grady,T41,74,73,73,80,300,"$7,400.00",,1994
Andrew Magee,T41,74,74,76,76,300,"$7,400.00",,1994
Hajime Meshiai,T41,71,71,80,78,300,"$7,400.00",,1994
Costantino Rocca,T41,79,70,78,73,300,"$7,400.00",,1994
Mike Standly,T41,77,69,79,75,300,"$7,400.00",,1994
John Cook,T46,77,72,77,75,301,"$6,000.00",,1994
Ian Woosnam,T46,76,73,77,75,301,"$6,000.00",,1994
John Daly,T48,76,73,77,78,304,"$5,250.00",,1994
Howard Twitty,T48,73,76,74,81,304,"$5,250.00",,1994
Jeff Maggert,T50,75,73,82,75,305,"$5,000.00",,1994
John Harris,T50,72,76,80,77,305,,,1994
Mark Calcavecchia,CUT,75,75,,,150,,,1994
Rick Fehr,CUT,77,73,,,150,,,1994
Nolan Henke,CUT,77,73,,,150,,,1994
Johnny Miller,CUT,77,73,,,150,,,1994
Colin Montgomerie,CUT,77,73,,,150,,,1994
Gil Morgan,CUT,74,76,,,150,,,1994
Masashi Jumbo Ozaki,CUT,76,74,,,150,,,1994
Gary Player,CUT,71,79,,,150,,,1994
Craig Stadler,CUT,76,74,,,150,,,1994
"Jim Gallagher, Jr.",CUT,74,77,,,151,,,1994
Dudley Hart,CUT,76,75,,,151,,,1994
Billy Mayfair,CUT,74,77,,,151,,,1994
Brett Ogle,CUT,74,77,,,151,,,1994
Danny Ellis,CUT,78,74,,,152,,,1994
John Inman,CUT,76,76,,,152,,,1994
Jack Nicklaus,CUT,78,74,,,152,,,1994
Grant Waite,CUT,74,78,,,152,,,1994
Peter Baker,CUT,78,75,,,153,,,1994
Bob Estes,CUT,77,76,,,153,,,1994
John Adams,CUT,76,78,,,154,,,1994
Billy Casper,CUT,77,77,,,154,,,1994
Charles Coody,CUT,80,74,,,154,,,1994
Anders Forsbrand,CUT,80,74,,,154,,,1994
Scott Hoch,CUT,75,79,,,154,,,1994
Davis Love III,CUT,76,78,,,154,,,1994
Steve Elkington,CUT,81,74,,,155,,,1994
Arnold Palmer,CUT,78,77,,,155,,,1994
Tommy Aaron,CUT,76,80,,,156,,,1994
Payne Stewart,CUT,78,78,,,156,,,1994
Jeffrey Thomas,CUT,78,78,,,156,,,1994
Blaine McCallister,CUT,79,78,,,157,,,1994
Barry Lane,CUT,76,82,,,158,,,1994
Iain Pyman,CUT,82,79,,,161,,,1994
Gay Brewer,CUT,84,79,,,163,,,1994
Doug Ford,W/D,85,,,,85,,,1994
Bernhard Langer,1,68,70,69,70,277,"$306,000.00",,1993
Chip Beck,2,72,67,72,70,281,"$183,600.00",,1993
John Daly,T3,70,71,73,69,283,"$81,600.00",,1993
Steve Elkington,T3,71,70,71,71,283,"$81,600.00",,1993
Tom Lehman,T3,67,75,73,68,283,"$81,600.00",,1993
Lanny Wadkins,T3,69,72,71,71,283,"$81,600.00",,1993
Dan Forsman,T7,69,69,73,73,284,"$54,850.00",,1993
Jose Maria Olazabal,T7,70,72,74,68,284,"$54,850.00",,1993
Brad Faxon,T9,71,70,72,72,285,"$47,600.00",,1993
Payne Stewart,T9,74,70,72,69,285,"$47,600.00",,1993
Seve Ballesteros,T11,74,70,71,71,286,"$34,850.00",,1993
Raymond Floyd,T11,68,71,74,73,286,"$34,850.00",,1993
Anders Forsbrand,T11,71,74,75,66,286,"$34,850.00",,1993
Corey Pavin,T11,67,75,73,71,286,"$34,850.00",,1993
Scott Simpson,T11,72,71,71,72,286,"$34,850.00",,1993
Fuzzy Zoeller,T11,75,67,71,73,286,"$34,850.00",,1993
Mark Calcavecchia,T17,71,70,74,72,287,"$24,650.00",,1993
Jeff Sluman,T17,71,72,71,73,287,"$24,650.00",,1993
Howard Twitty,T17,70,71,73,73,287,"$24,650.00",,1993
Ian Woosnam,T17,71,74,73,69,287,"$24,650.00",,1993
Russ Cochran,T21,70,69,73,76,288,"$17,000.00",,1993
Fred Couples,T21,72,70,74,72,288,"$17,000.00",,1993
Sandy Lyle,T21,73,71,71,73,288,"$17,000.00",,1993
Jeff Maggert,T21,70,67,75,76,288,"$17,000.00",,1993
Larry Mize,T21,67,74,74,73,288,"$17,000.00",,1993
Mark O'Meara,T21,75,69,73,71,288,"$17,000.00",,1993
Nolan Henke,T27,76,69,71,73,289,"$12,350.00",,1993
Hale Irwin,T27,74,69,74,72,289,"$12,350.00",,1993
Jack Nicklaus,T27,67,75,76,71,289,"$12,350.00",,1993
Joey Sindelar,T27,72,69,76,72,289,"$12,350.00",,1993
Bruce Lietzke,T31,74,71,71,74,290,"$10,533.00",,1993
Andrew Magee,T31,75,69,70,76,290,"$10,533.00",,1993
Greg Norman,T31,74,68,71,77,290,"$10,533.00",,1993
Bob Gilder,T34,69,76,75,71,291,"$8,975.00",,1993
Phil Mickelson,T34,72,71,75,73,291,"$8,975.00",,1993
Gene Sauers,T34,74,71,75,71,291,"$8,975.00",,1993
Craig Stadler,T34,73,74,69,75,291,"$8,975.00",,1993
Jay Haas,38,70,73,75,74,292,"$8,000.00",,1993
Keith Clearwater,T39,74,70,75,74,293,"$6,817.00",,1993
John Cook,T39,76,67,75,75,293,"$6,817.00",,1993
Nick Faldo,T39,71,76,79,67,293,"$6,817.00",,1993
Lee Janzen,T39,67,73,76,77,293,"$6,817.00",,1993
Ted Schulz,T39,69,76,76,72,293,"$6,817.00",,1993
Duffy Waldorf,T39,72,75,73,73,293,"$6,817.00",,1993
Jay Don Blake,T45,71,74,73,76,294,"$4,940.00",,1993
Joe Ozaki,T45,74,70,78,72,294,"$4,940.00",,1993
Masashi Jumbo Ozaki,T45,75,71,77,71,294,"$4,940.00",,1993
Craig Parry,T45,69,72,75,78,294,"$4,940.00",,1993
Tom Watson,T45,71,75,73,75,294,"$4,940.00",,1993
Gil Morgan,T50,72,74,72,77,295,"$4,250.00",,1993
Brett Ogle,T50,70,74,71,80,295,"$4,250.00",,1993
Colin Montgomerie,T52,71,72,78,75,296,"$4,050.00",,1993
David Peoples,T52,71,73,78,74,296,"$4,050.00",,1993
Ian Baker-Finch,T54,73,72,73,80,298,"$3,900.00",,1993
David Edwards,T54,73,73,76,76,298,"$3,900.00",,1993
Davis Love III,T54,73,72,76,77,298,"$3,900.00",,1993
Charles Coody,T57,74,72,75,78,299,"$3,800.00",,1993
Gary Hallberg,T57,72,74,78,75,299,"$3,800.00",,1993
John Huston,59,68,74,84,75,301,"$3,800.00",,1993
Gary Player,60,71,76,75,80,302,"$3,700.00",,1993
Billy Andrade,61,73,74,80,76,303,"$3,700.00",,1993
Paul Azinger,CUT,71,77,,,148,,,1993
Ben Crenshaw,CUT,74,74,,,148,,,1993
David Frost,CUT,75,73,,,148,,,1993
Mark Brooks,CUT,72,77,,,149,,,1993
Mike Hulbert,CUT,74,75,,,149,,,1993
Justin Leonard,CUT,76,73,,,149,,,1993
Fred Funk,CUT,77,73,,,150,,,1993
Bill Glasson,CUT,70,80,,,150,,,1993
Wayne Grady,CUT,77,73,,,150,,,1993
Tony Johnstone,CUT,74,76,,,150,,,1993
Steve Pate,CUT,73,77,,,150,,,1993
Tommy Aaron,CUT,80,71,,,151,,,1993
Billy Ray Brown,CUT,74,77,,,151,,,1993
Tom Kite,CUT,73,78,,,151,,,1993
Dillard Pruitt,CUT,76,75,,,151,,,1993
Mark Carnevale,CUT,79,73,,,152,,,1993
Arnold Palmer,CUT,74,78,,,152,,,1993
Warren Schutte,CUT,73,79,,,152,,,1993
"Jim Gallagher, Jr.",CUT,81,72,,,153,,,1993
Nick Price,CUT,72,81,,,153,,,1993
Richard Zokol,CUT,75,79,,,154,,,1993
Danny Yates,CUT,76,79,,,155,,,1993
Billy Casper,CUT,79,77,,,156,,,1993
Mark McCumber,CUT,76,80,,,156,,,1993
Mike Standly,CUT,78,79,,,157,,,1993
Stephen Dundas,CUT,78,83,,,161,,,1993
Doug Ford,CUT,83,78,,,161,,,1993
Gay Brewer,CUT,80,83,,,163,,,1993
Curtis Strange,W/D,77,72,,,149,,,1993
Fred Couples,1,69,67,69,70,275,"$270,000.00",,1992
Raymond Floyd,2,69,68,69,71,277,"$162,000.00",,1992
Corey Pavin,3,72,71,68,67,278,"$102,000.00",,1992
Mark O'Meara,T4,74,67,69,70,280,"$66,000.00",,1992
Jeff Sluman,T4,65,74,70,71,280,"$66,000.00",,1992
Ian Baker-Finch,T6,70,69,68,74,281,"$43,829.00",,1992
Nolan Henke,T6,70,71,70,70,281,"$43,829.00",,1992
Larry Mize,T6,73,69,71,68,281,"$43,829.00",,1992
Greg Norman,T6,70,70,73,68,281,"$43,829.00",,1992
Steve Pate,T6,73,71,70,67,281,"$43,829.00",,1992
Nick Price,T6,70,71,67,73,281,"$43,829.00",,1992
Ted Schulz,T6,68,69,72,72,281,"$43,829.00",,1992
Nick Faldo,T13,71,72,68,71,282,"$26,500.00",,1992
Wayne Grady,T13,68,75,71,68,282,"$26,500.00",,1992
Bruce Lietzke,T13,69,72,68,73,282,"$26,500.00",,1992
Craig Parry,T13,69,66,69,78,282,"$26,500.00",,1992
Dillard Pruitt,T13,75,68,70,69,282,"$26,500.00",,1992
Scott Simpson,T13,70,71,71,70,282,"$26,500.00",,1992
Billy Ray Brown,T19,70,74,70,69,283,"$17,550.00",,1992
John Daly,T19,71,71,73,68,283,"$17,550.00",,1992
Mike Hulbert,T19,68,74,71,70,283,"$17,550.00",,1992
Andrew Magee,T19,73,70,70,70,283,"$17,550.00",,1992
Ian Woosnam,T19,69,66,73,75,283,"$17,550.00",,1992
Fuzzy Zoeller,T19,71,70,73,69,283,"$17,550.00",,1992
Bruce Fleisher,T25,73,70,72,69,284,"$11,467.00",,1992
"Jim Gallagher, Jr.",T25,74,68,71,71,284,"$11,467.00",,1992
John Huston,T25,69,73,73,69,284,"$11,467.00",,1992
Davis Love III,T25,68,72,72,72,284,"$11,467.00",,1992
Craig Stadler,T25,70,71,70,73,284,"$11,467.00",,1992
D.A. Weibring,T25,71,68,72,73,284,"$11,467.00",,1992
Paul Azinger,T31,70,73,70,72,285,"$8,717.00",,1992
Mark Calcavecchia,T31,73,72,75,65,285,"$8,717.00",,1992
Brad Faxon,T31,71,71,69,74,285,"$8,717.00",,1992
Bernhard Langer,T31,69,73,69,74,285,"$8,717.00",,1992
Steven Richardson,T31,69,75,70,71,285,"$8,717.00",,1992
Curtis Strange,T31,73,72,71,69,285,"$8,717.00",,1992
Steve Elkington,T37,69,71,74,72,286,"$6,800.00",,1992
Sandy Lyle,T37,72,69,70,75,286,"$6,800.00",,1992
Mark McCumber,T37,72,70,76,68,286,"$6,800.00",,1992
Rocco Mediate,T37,70,73,70,73,286,"$6,800.00",,1992
Colin Montgomerie,T37,72,71,73,70,286,"$6,800.00",,1992
Bob Gilder,T42,72,71,73,71,287,"$5,450.00",,1992
Billy Mayfair,T42,71,71,72,73,287,"$5,450.00",,1992
Jack Nicklaus,T42,69,75,69,74,287,"$5,450.00",,1992
Jose Maria Olazabal,T42,76,69,72,70,287,"$5,450.00",,1992
Ben Crenshaw,46,72,71,71,74,288,"$4,700.00",,1992
Hale Irwin,47,72,70,72,75,289,"$4,400.00",,1992
Blaine McCallister,T48,71,71,76,72,290,"$3,933.00",,1992
Lanny Wadkins,T48,65,75,76,74,290,"$3,933.00",,1992
Tom Watson,T48,73,70,76,71,290,"$3,933.00",,1992
George Archer,51,74,69,76,72,291,"$3,700.00",,1992
Fulton Allem,T52,69,71,78,74,292,"$3,550.00",,1992
David Feherty,T52,73,72,77,70,292,"$3,550.00",,1992
Tommy Aaron,T54,76,69,77,71,293,"$3,440.00",,1992
Billy Andrade,T54,73,71,73,76,293,"$3,440.00",,1992
John Cook,T54,72,73,71,77,293,"$3,440.00",,1992
Lee Janzen,T54,74,71,74,74,293,"$3,440.00",,1992
David Peoples,T54,73,71,72,77,293,"$3,440.00",,1992
Seve Ballesteros,T59,75,68,70,81,294,"$3,300.00",,1992
Manny Zerman,T59,70,71,76,77,294,,,1992
Peter Jacobsen,T61,72,70,77,76,295,"$3,300.00",,1992
Tom Purtzer,T61,76,69,75,75,295,"$3,300.00",,1992
Rodger Davis,63,77,68,77,79,301,"$3,200.00",,1992
Mark Brooks,CUT,73,73,,,146,,,1992
Kenny Knox,CUT,73,73,,,146,,,1992
Tommy Nakajima,CUT,72,74,,,146,,,1992
"David Berganio, Jr.",CUT,76,71,,,147,,,1992
Jodie Mudd,CUT,69,78,,,147,,,1992
Chip Beck,CUT,76,72,,,148,,,1992
Jay Don Blake,CUT,73,75,,,148,,,1992
Russ Cochran,CUT,73,75,,,148,,,1992
Masashi Jumbo Ozaki,CUT,77,71,,,148,,,1992
Arnold Palmer,CUT,75,73,,,148,,,1992
Kenny Perry,CUT,72,76,,,148,,,1992
Gary Player,CUT,75,73,,,148,,,1992
Mitch Voges,CUT,73,75,,,148,,,1992
Payne Stewart,CUT,74,75,,,149,,,1992
Hal Sutton,CUT,76,75,,,151,,,1992
Gary Wolstenholme,CUT,72,79,,,151,,,1992
Gay Brewer,CUT,81,77,,,158,,,1992
James Stuart,CUT,79,79,,,158,,,1992
Doug Ford,CUT,82,82,,,164,,,1992
Larry Nelson,DQ,73,,,,73,,,1992
Ian Woosnam,1,72,66,67,72,277,"$243,000.00",,1991
Jose Maria Olazabal,2,68,71,69,70,278,"$145,800.00",,1991
Ben Crenshaw,T3,70,73,68,68,279,"$64,800.00",,1991
Steve Pate,T3,72,73,69,65,279,"$64,800.00",,1991
Lanny Wadkins,T3,67,71,70,71,279,"$64,800.00",,1991
Tom Watson,T3,68,68,70,73,279,"$64,800.00",,1991
Ian Baker-Finch,T7,71,70,69,70,280,"$42,100.00",,1991
Andrew Magee,T7,70,72,68,70,280,"$42,100.00",,1991
Jodie Mudd,T7,70,70,71,69,280,"$42,100.00",,1991
Hale Irwin,T10,70,70,75,66,281,"$35,150.00",,1991
Tommy Nakajima,T10,74,71,67,69,281,"$35,150.00",,1991
Mark Calcavecchia,T12,70,68,77,67,282,"$26,500.00",,1991
Nick Faldo,T12,72,73,67,70,282,"$26,500.00",,1991
Billy Mayfair,T12,72,72,72,66,282,"$26,500.00",,1991
Craig Stadler,T12,70,72,71,69,282,"$26,500.00",,1991
Fuzzy Zoeller,T12,70,70,75,67,282,"$26,500.00",,1991
Raymond Floyd,T17,71,68,71,73,283,"$18,920.00",,1991
"Jim Gallagher, Jr.",T17,67,74,71,71,283,"$18,920.00",,1991
Peter Jacobsen,T17,73,70,68,72,283,"$18,920.00",,1991
Mark McCumber,T17,67,71,73,72,283,"$18,920.00",,1991
Larry Mize,T17,72,71,66,74,283,"$18,920.00",,1991
Seve Ballesteros,T22,75,70,69,70,284,"$12,960.00",,1991
Steve Elkington,T22,72,69,74,69,284,"$12,960.00",,1991
Rocco Mediate,T22,72,69,71,72,284,"$12,960.00",,1991
Corey Pavin,T22,73,70,69,72,284,"$12,960.00",,1991
Scott Simpson,T22,69,73,69,73,284,"$12,960.00",,1991
Jay Don Blake,T27,74,72,68,71,285,"$10,200.00",,1991
Mark O'Meara,T27,74,68,72,71,285,"$10,200.00",,1991
Morris Hatalsky,T29,71,72,70,73,286,"$9,200.00",,1991
John Huston,T29,73,72,71,70,286,"$9,200.00",,1991
Jeff Sluman,T29,71,71,72,72,286,"$9,200.00",,1991
David Frost,T32,71,73,71,72,287,"$8,000.00",,1991
Bernhard Langer,T32,71,68,74,74,287,"$8,000.00",,1991
Wayne Levi,T32,69,73,70,75,287,"$8,000.00",,1991
Mark Brooks,T35,69,72,74,73,288,"$6,371.00",,1991
Fred Couples,T35,68,73,72,75,288,"$6,371.00",,1991
Ken Green,T35,70,74,71,73,288,"$6,371.00",,1991
Scott Hoch,T35,72,70,73,73,288,"$6,371.00",,1991
Mark McNulty,T35,72,74,75,67,288,"$6,371.00",,1991
Jack Nicklaus,T35,68,72,72,76,288,"$6,371.00",,1991
Masashi Jumbo Ozaki,T35,68,77,69,74,288,"$6,371.00",,1991
Billy Ray Brown,T42,74,65,77,73,289,"$4,875.00",,1991
Donnie Hammond,T42,72,73,73,71,289,"$4,875.00",,1991
Davis Love III,T42,72,71,74,72,289,"$4,875.00",,1991
Curtis Strange,T42,72,74,72,71,289,"$4,875.00",,1991
Don Pooley,T46,72,71,69,78,290,"$4,050.00",,1991
Joey Sindelar,T46,72,70,70,78,290,"$4,050.00",,1991
Phil Mickelson,T46,69,73,74,74,290,,,1991
Tommy Aaron,T49,70,74,73,74,291,"$3,533.00",,1991
Nick Price,T49,72,73,72,74,291,"$3,533.00",,1991
Lee Trevino,T49,71,72,77,71,291,"$3,533.00",,1991
Paul Azinger,52,72,73,67,80,292,"$3,300.00",,1991
Nolan Henke,T53,73,71,72,77,293,"$3,200.00",,1991
Brian Tennyson,T53,78,67,75,73,293,"$3,200.00",,1991
Larry Nelson,55,74,69,76,75,294,"$3,100.00",,1991
Tom Kite,56,71,75,78,71,295,"$3,100.00",,1991
Manny Zerman,57,71,71,77,80,299,,,1991
Bill Britton,CUT,72,75,,,147,,,1991
John Cook,CUT,77,70,,,147,,,1991
Greg Norman,CUT,78,69,,,147,,,1991
Gary Player,CUT,72,75,,,147,,,1991
Billy Casper,CUT,77,71,,,148,,,1991
Mike Donald,CUT,73,75,,,148,,,1991
Steve Jones,CUT,73,75,,,148,,,1991
Tom Sieckmann,CUT,72,76,,,148,,,1991
Robert Gamez,CUT,72,77,,,149,,,1991
Ronan Rafferty,CUT,73,76,,,149,,,1991
Loren Roberts,CUT,72,77,,,149,,,1991
Chip Beck,CUT,74,76,,,150,,,1991
Wayne Grady,CUT,74,76,,,150,,,1991
Bob Tway,CUT,75,75,,,150,,,1991
Kenny Knox,CUT,72,79,,,151,,,1991
Tim Simpson,CUT,73,78,,,151,,,1991
Jim Benepe,CUT,78,74,,,152,,,1991
Gay Brewer,CUT,78,74,,,152,,,1991
Ted Schulz,CUT,74,78,,,152,,,1991
Sandy Lyle,CUT,77,76,,,153,,,1991
Frankie Minoza,CUT,78,75,,,153,,,1991
Gil Morgan,CUT,77,76,,,153,,,1991
James Stuart,CUT,81,72,,,153,,,1991
Charles Coody,CUT,77,77,,,154,,,1991
Michael Combs,CUT,81,74,,,155,,,1991
John Inman,CUT,75,80,,,155,,,1991
Rolf Muntz,CUT,80,75,,,155,,,1991
Arnold Palmer,CUT,78,77,,,155,,,1991
George Archer,W/D,73,,,,73,,,1991
Doug Ford,W/D,,,,,,,,1991
Nick Faldo,1,71,72,66,69,278,"$225,000.00",,1990
Raymond Floyd,2,70,68,68,72,278,"$135,000.00",,1990
